hhid,mrt24mnth,mrtdod_m1,mrtdod_y1,mrtdod_m2,mrtdod_y2,toishr,enrgelec,refrem,empl,rent,grn,tinc,ownrad,ownhif,owntel,ownsat,ownvid,owncom,owncam,owncel,ownelestv,owngasstv,ownparstv,ownmic,ownfrg,ownwsh,ownvehpri,mrtage1,mrtage2,dwltyp,watsrc,watdis,toi,enrgck,enrght,enrglght,tinc_brac1,tinc_brac2,tinc_brac3,tinc_brac4,tinc_brac5,tinc_brac6,tellnd,prov,geo
500972,Yes,November,2014.0,,,No,Yes,Yes,No,Yes,Yes,2000.0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,22.0,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,8.0,3
500973,No,,,,,No,Yes,Yes,Yes,Yes,No,18700.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,,1.0,1.0,,1.0,1.0,3.0,1.0,,,,,,,3.0,7.0,3
500974,No,,,,,,Yes,No,Yes,No,Yes,2720.0,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,,,2.0,,7.0,5.0,5.0,1.0,,,,,,,3.0,5.0,1
500976,No,,,,,No,Yes,No,No,No,Yes,3570.0,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,,,1.0,2.0,,5.0,5.0,11.0,1.0,,,,,,,3.0,5.0,2
500977,No,,,,,No,Yes,Yes,Yes,No,No,25000.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,8.0,3
500979,Yes,May,2016.0,,,No,Yes,Yes,No,Yes,Yes,3000.0,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,67.0,,6.0,2.0,,2.0,1.0,4.0,1.0,,,,,,,1.0,4.0,3
500980,No,,,,,No,Yes,No,Yes,No,No,1500.0,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,,,1.0,1.0,,5.0,1.0,1.0,1.0,,,,,,,3.0,5.0,2
500981,No,,,,,No,Yes,No,No,No,Yes,1600.0,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,,1.0,2.0,,5.0,1.0,5.0,1.0,,,,,,,3.0,5.0,2
500982,No,,,,,No,Yes,Yes,Yes,No,No,5000.0,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,2.0,1.0,11.0,1.0,,,,,,,3.0,1.0,3
500983,No,,,,,No,Yes,Yes,Yes,No,No,17000.0,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,1.0,3.0,11.0,1.0,,,,,,,1.0,7.0,3
500984,No,,,,,No,Yes,Yes,No,No,Yes,1600.0,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,5.0,3
500985,No,,,,,,Yes,No,No,No,Yes,3000.0,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,,,,3.0,,7.0,5.0,4.0,1.0,,,,,,,3.0,5.0,2
500986,No,,,,,No,Yes,No,Yes,No,No,,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,1.0,2.0,,5.0,1.0,1.0,1.0,1.0,,1.0,,3.0,,3.0,7.0,3
500987,No,,,,,No,Yes,No,No,No,Yes,2320.0,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,,1.0,3.0,1.0,4.0,1.0,5.0,1.0,,,,,,,3.0,2.0,2
500988,No,,,,,No,Yes,Yes,Yes,No,No,2000.0,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,1.0,3
500989,No,,,,,No,Yes,Yes,No,No,Yes,2500.0,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
500990,No,,,,,No,No,Yes,Yes,No,No,50000.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,2.0,3.0,5.0,1.0,,,,,,,1.0,7.0,3
500991,No,,,,,No,Yes,Yes,Yes,No,No,3500.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,,4.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
500992,No,,,,,No,Yes,Yes,Yes,No,No,4000.0,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,,,1.0,1.0,,2.0,1.0,11.0,1.0,,,,,,,3.0,5.0,3
500993,No,,,,,No,Yes,Yes,Yes,No,No,120000.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,5.0,3
500994,Yes,February,2017.0,March,2016.0,Yes,Yes,Yes,Yes,No,Yes,4300.0,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,66.0,68.0,1.0,1.0,,1.0,1.0,11.0,1.0,,,,,,,3.0,1.0,3
500995,No,,,,,Yes,Yes,Yes,Yes,No,No,6000.0,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,9.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
500997,No,,,,,No,Yes,No,Yes,No,No,22000.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,1.0,7.0,,4.0,1.0,1.0,1.0,,,,,,,3.0,5.0,2
500998,No,,,,,No,Yes,No,Yes,No,No,5000.0,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,,1.0,3.0,1.0,4.0,1.0,5.0,1.0,,,,,,,3.0,2.0,2
501000,No,,,,,No,Yes,No,Yes,No,Yes,5500.0,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,9.0,2
501001,No,,,,,No,Yes,Yes,No,No,No,1500.0,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,,,6.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,2.0,5.0,3
501002,No,,,,,No,Yes,No,No,Yes,No,3800.0,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,,,6.0,3.0,5.0,4.0,1.0,5.0,1.0,,,,,,,3.0,5.0,2
501003,No,,,,,Yes,Yes,Yes,No,No,Yes,350.0,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,,3.0,2.0,,2.0,1.0,4.0,1.0,,,,,,,3.0,2.0,3
501004,No,,,,,No,Yes,Yes,Yes,No,No,6500.0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,,,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,1.0,3
501006,No,,,,,No,Yes,No,No,No,Yes,2450.0,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,,1.0,2.0,,4.0,1.0,1.0,1.0,,,,,,,3.0,2.0,2
501007,No,,,,,No,Yes,Yes,Yes,No,No,14000.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,3.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,1.0,5.0,3
501010,Yes,,,,,Yes,Yes,No,No,No,Yes,1400.0,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,,,3.0,1.0,4.0,1.0,11.0,1.0,,,,,,,3.0,2.0,2
501011,No,,,,,No,No,Yes,Yes,No,No,30000.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,2.0,3.0,1.0,1.0,,,,,,,3.0,8.0,3
501012,No,,,,,No,Yes,Yes,No,No,Yes,1700.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,3.0,3
501014,No,,,,,No,Yes,No,No,No,Yes,4500.0,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,,6.0,3.0,1.0,5.0,1.0,5.0,1.0,,,,,,,3.0,5.0,1
501015,No,,,,,No,Yes,Yes,No,No,No,4500.0,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
501016,No,,,,,No,Yes,Yes,No,No,Yes,4100.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,,1.0,2.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,3.0,3
501017,No,,,,,No,Yes,No,Yes,No,No,3000.0,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,,1.0,3.0,2.0,4.0,5.0,5.0,1.0,,,,,,,3.0,5.0,2
501018,No,,,,,Yes,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,,1.0,2.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
501019,No,,,,,Yes,Yes,Yes,No,No,No,,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,,,3.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,,1.0,,,3.0,1.0,3
501020,No,,,,,No,Yes,Yes,Yes,No,Yes,2800.0,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,,,1.0,2.0,,2.0,3.0,5.0,1.0,,,,,,,3.0,3.0,3
501021,No,,,,,No,Yes,Yes,Yes,No,Yes,5360.0,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,,,1.0,1.0,,1.0,1.0,5.0,1.0,,,,,,,3.0,1.0,3
501024,No,,,,,No,Yes,Yes,Yes,No,No,8000.0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,6.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,3.0,3
501025,No,,,,,No,Yes,Yes,Yes,No,Yes,4000.0,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,,,,1.0,,1.0,1.0,11.0,1.0,,,,,,,1.0,1.0,3
501027,No,,,,,Yes,Yes,Yes,Yes,No,No,1500.0,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,,,1.0,,5.0,1.0,1.0,1.0,,,,,,,3.0,3.0,3
501028,No,,,,,Yes,No,Yes,Yes,No,No,2000.0,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,,,,3.0,1.0,6.0,4.0,11.0,7.0,,,,,,,3.0,7.0,3
501029,No,,,,,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,,,6.0,3.0,1.0,4.0,1.0,5.0,1.0,2.0,,,,,,3.0,2.0,2
501030,No,,,,,Yes,Yes,No,Yes,No,No,15200.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,,,6.0,1.0,,1.0,3.0,1.0,1.0,,,,,,,3.0,8.0,3
501031,No,,,,,Yes,Yes,Yes,Yes,No,No,3300.0,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,,,6.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
501032,No,,,,,No,Yes,Yes,Yes,No,Yes,4700.0,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,,3.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,1.0,3
501033,No,,,,,Yes,Yes,Yes,Yes,No,No,6600.0,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,,3.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
501034,No,,,,,No,Yes,Yes,Yes,No,No,18000.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,5.0,3
501036,No,,,,,No,Yes,No,No,No,Yes,2000.0,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,,,9.0,1.0,5.0,1.0,1.0,1.0,,,,,,,3.0,5.0,2
501037,No,,,,,No,Yes,No,No,No,Yes,1600.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,5.0,1
501039,No,,,,,No,Yes,Yes,Yes,No,Yes,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,,3.0,4.0,3
501042,No,,,,,No,Yes,No,No,No,No,500.0,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,,,1.0,2.0,,5.0,1.0,5.0,1.0,,,,,,,3.0,2.0,2
501045,No,,,,,No,Yes,No,Yes,No,Yes,8000.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,,,1.0,3.0,5.0,4.0,1.0,2.0,1.0,,,,,,,3.0,5.0,2
501046,Yes,February,2017.0,,,No,Yes,Yes,Yes,No,No,3020.0,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,49.0,,1.0,1.0,,1.0,1.0,11.0,1.0,,,,,,,3.0,1.0,3
501047,No,,,,,No,Yes,No,No,No,Yes,3000.0,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,,,1.0,2.0,,4.0,5.0,1.0,1.0,,,,,,,3.0,9.0,2
501048,No,,,,,No,Yes,Yes,Yes,No,Yes,4500.0,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,,,7.0,1.0,,1.0,1.0,11.0,1.0,,,,,,,3.0,1.0,3
501050,No,,,,,No,No,Yes,Yes,No,Yes,2800.0,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,,,,3.0,1.0,6.0,4.0,11.0,4.0,,,,,,,3.0,2.0,3
501051,No,,,,,No,Yes,No,Yes,No,Yes,3700.0,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,,,1.0,1.0,,4.0,1.0,1.0,1.0,,,,,,,3.0,4.0,1
501052,No,,,,,No,Yes,No,No,No,Yes,3080.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,,1.0,8.0,5.0,4.0,5.0,5.0,1.0,,,,,,,3.0,5.0,2
501055,No,,,,,Yes,Yes,Yes,No,No,Yes,,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,,7.0,2.0,,2.0,1.0,1.0,1.0,,,,,,,1.0,1.0,3
501056,No,,,,,No,Yes,Yes,Yes,No,No,45000.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,,,4.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,5.0,3
501057,No,,,,,Yes,No,Yes,Yes,No,Yes,0.0,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,,3.0,1.0,,2.0,1.0,11.0,1.0,,,,,,,3.0,7.0,3
501058,No,,,,,No,Yes,Yes,No,No,Yes,900.0,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,,,6.0,1.0,,1.0,1.0,11.0,1.0,,,,,,,3.0,5.0,3
501059,No,,,,,No,Yes,Yes,Yes,No,Yes,2000.0,Yes,Yes,Yes,,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,4.0,3
501060,No,,,,,No,Yes,No,Yes,No,Yes,1000.0,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,,,,7.0,,4.0,1.0,6.0,1.0,,,,,,,3.0,2.0,2
501061,No,,,,,No,Yes,Yes,Yes,Yes,No,15000.0,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,,1.0,7.0,,5.0,1.0,1.0,1.0,,,,,,,3.0,5.0,2
501063,No,,,,,Yes,Yes,Yes,Yes,No,No,4000.0,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,,1.0,2.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
501064,No,,,,,No,Yes,No,Yes,No,No,1500.0,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,,1.0,2.0,,5.0,1.0,11.0,1.0,,,,,,,3.0,7.0,3
501065,No,,,,,No,Yes,Yes,Yes,No,Yes,4000.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,,1.0,2.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,4.0,3
501066,No,,,,,No,Yes,Yes,Yes,No,Yes,12000.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,3.0,3
501068,Yes,April,2015.0,,,No,Yes,No,No,No,Yes,1650.0,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,57.0,,6.0,1.0,,1.0,1.0,11.0,1.0,,,,,,,3.0,9.0,2
501069,No,,,,,No,Yes,Yes,Yes,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,4.0,3
501070,No,,,,,No,Yes,Yes,Yes,Yes,No,8600.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,1.0,7.0,3
501071,No,,,,,No,Yes,No,Yes,No,Yes,4000.0,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,1.0,3.0,1.0,4.0,1.0,11.0,1.0,,,,,,,3.0,2.0,2
501072,No,,,,,No,Yes,No,No,No,Yes,3500.0,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,,1.0,2.0,,5.0,1.0,1.0,1.0,,,,,,,3.0,8.0,3
501073,No,,,,,No,Yes,Yes,No,No,Yes,2600.0,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,1.0,3
501074,No,,,,,No,Yes,No,Yes,No,No,21000.0,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,5.0,3
501075,No,,,,,No,Yes,Yes,Yes,No,No,4000.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
501077,No,,,,,Yes,Yes,No,Yes,No,Yes,11100.0,No,No,Yes,No,No,No,,Yes,Yes,No,No,Yes,Yes,No,No,,,1.0,3.0,2.0,4.0,1.0,5.0,1.0,,,,,,,3.0,5.0,2
501078,No,,,,,No,Yes,No,No,No,No,1600.0,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,,1.0,3.0,1.0,5.0,1.0,5.0,1.0,,,,,,,3.0,5.0,2
501081,Yes,August,2015.0,,,No,Yes,No,No,No,Yes,1850.0,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,61.0,,,2.0,,2.0,1.0,4.0,1.0,,,,,,,3.0,2.0,2
501082,Yes,February,2017.0,,,No,Yes,Yes,No,No,Yes,3500.0,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,64.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,5.0,3
501083,Yes,May,2016.0,,,Yes,Yes,No,No,No,No,11000.0,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,35.0,,6.0,2.0,,4.0,1.0,1.0,1.0,,,,,,,3.0,5.0,2
501084,No,,,,,No,Yes,Yes,No,No,Yes,2300.0,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,4.0,3
501085,No,,,,,Yes,Yes,Yes,Yes,No,No,5000.0,No,,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,,,7.0,2.0,,1.0,1.0,11.0,1.0,,,,,,,3.0,7.0,3
501086,No,,,,,No,Yes,No,No,No,Yes,1500.0,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,1.0,3.0,2.0,5.0,1.0,1.0,1.0,,,,,,,3.0,6.0,2
501087,No,,,,,Yes,No,Yes,Yes,No,No,3000.0,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,,,,3.0,1.0,2.0,4.0,11.0,7.0,,,,,,,3.0,5.0,3
501088,No,,,,,Yes,Yes,Yes,Yes,No,,10000.0,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,6.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
501089,No,,,,,No,Yes,Yes,Yes,No,Yes,16000.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,1.0,1.0,3
501090,No,,,,,No,Yes,No,Yes,No,Yes,5000.0,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,,,3.0,2.0,5.0,1.0,1.0,1.0,,,,,,,3.0,9.0,2
501091,No,,,,,No,Yes,Yes,Yes,No,No,18000.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,1.0,3.0,1.0,1.0,,,,,,,3.0,2.0,3
501093,Yes,,,,,No,Yes,Yes,Yes,No,No,10000.0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,5.0,3
501094,No,,,,,No,Yes,No,Yes,No,Yes,4500.0,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,,,1.0,3.0,,4.0,1.0,1.0,1.0,,,,,,,3.0,5.0,2
501095,No,,,,,No,Yes,No,No,No,Yes,1800.0,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,,,3.0,,5.0,5.0,5.0,1.0,,,,,,,3.0,6.0,2
501096,No,,,,,Yes,Yes,Yes,Yes,No,No,8000.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
501097,No,,,,,Yes,No,Yes,Yes,No,No,30000.0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,,,6.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
501098,No,,,,,No,Yes,No,Yes,No,No,1500.0,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
501099,No,,,,,No,Yes,No,Yes,No,Yes,7000.0,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,,6.0,2.0,,4.0,1.0,1.0,1.0,,,,,,,3.0,5.0,2
501100,No,,,,,No,Yes,Yes,No,No,Yes,6000.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,1.0,1
501101,No,,,,,No,No,No,No,No,Yes,2560.0,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,,,,8.0,5.0,4.0,5.0,5.0,7.0,,,,,,,3.0,5.0,2
501102,No,,,,,No,Yes,Yes,Yes,No,No,4000.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,6.0,3
501104,No,,,,,Yes,Yes,No,Yes,No,No,,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,,,1.0,2.0,,4.0,1.0,1.0,1.0,1.0,,1.0,,2.0,,3.0,9.0,2
501105,Yes,December,2016.0,,,No,Yes,No,Yes,No,No,1500.0,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,70.0,,,2.0,,5.0,1.0,11.0,1.0,,,,,,,3.0,5.0,2
501106,No,,,,,Yes,No,No,Yes,No,No,3100.0,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,,,,3.0,1.0,6.0,3.0,5.0,7.0,,,,,,,3.0,5.0,1
501107,No,,,,,No,Yes,No,No,No,Yes,1500.0,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,,,6.0,8.0,5.0,4.0,1.0,5.0,1.0,,,,,,,3.0,5.0,2
501110,No,,,,,Yes,No,No,Yes,No,No,1000.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,4.0,1.0,5.0,5.0,5.0,7.0,,,,,,,3.0,3.0,3
501112,No,,,,,No,Yes,Yes,Yes,Yes,No,17000.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
501115,No,,,,,No,Yes,No,Yes,No,No,15000.0,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,4.0,3
501116,No,,,,,Yes,Yes,Yes,Yes,No,No,3200.0,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,,6.0,2.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
501117,No,,,,,No,No,Yes,Yes,No,No,30000.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,1.0,3.0,1.0,1.0,,,,,,,1.0,1.0,3
